strain;MLST;phylogroup;exo;plasmids;ICEs;origin_gen;origin_clin;origin_env
H01;17;A;S;0;6;clinical;CF;na
H02;253;B;U;0;6;clinical;CF;na
H03;235;B;U;0;4;clinical;COPD;na
H04;395;A;S;0;2;clinical;CD;na
H05;446;B;U;1;5;clinical;respinf;na
H06;348;A;S;3;4;clinical;respinf;na
H07;274;A;S;0;1;clinical;COPD;na
H08;1567;B;U;0;4;clinical;respinf;na
H09;1328;C;na;0;0;environmental;na;river
H10;27;A;S;0;2;clinical;wound;na
H11;244;A;S;0;1;clinical;respinf;na
H12;254;na;S;na;na;clinical;COPD;na
H13;155;A;S;0;1;clinical;CF;na
H14;179;A;S;0;2;clinical;CF;na
H15;260;A;S;1;4;environmental;na;river
H16;2329;B;U;0;1;environmental;na;ocean
H17;1003;A;S;0;0;environmental;na;plant
H18;639;A;S;1;1;environmental;na;plant
H19;252;A;S;0;3;environmental;na;river
H20;1394;A;S;0;2;environmental;na;soil
PAO1;549;A;S;na;na;clinical;wound;na
PA14;253;B;U;na;na;clinical;wound;na
