strain,drug,replicate,diameter
H01,AMI,1,15
H01,AMI,2,16
H01,AMI,3,15
H01,CID,1,6
H01,CID,2,28
H01,CID,3,29
H01,CTZ,1,24
H01,CTZ,2,24
H01,CTZ,3,25
H01,CTV,1,21
H01,CTV,2,21
H01,CTV,3,21
H01,CTT,1,30
H01,CTT,2,28
H01,CTT,3,29
H01,CIP,1,17
H01,CIP,2,18
H01,CIP,3,17
H01,COL,1,16
H01,COL,2,17
H01,COL,3,17
H01,GEN,1,6
H01,GEN,2,6
H01,GEN,3,6
H01,IMI,1,34
H01,IMI,2,33
H01,IMI,3,33
H01,MER,1,39
H01,MER,2,39
H01,MER,3,38
H01,PIT,1,24
H01,PIT,2,24
H01,PIT,3,24
H01,TOB,1,28
H01,TOB,2,6
H01,TOB,3,6
H02,AMI,1,21
H02,AMI,2,21
H02,AMI,3,22
H02,CID,1,30
H02,CID,2,30
H02,CID,3,30
H02,CTZ,1,27
H02,CTZ,2,25
H02,CTZ,3,24
H02,CTV,1,22
H02,CTV,2,23
H02,CTV,3,23
H02,CTT,1,28
H02,CTT,2,28
H02,CTT,3,27
H02,CIP,1,30
H02,CIP,2,27
H02,CIP,3,28
H02,COL,1,14
H02,COL,2,15
H02,COL,3,13
H02,GEN,1,19
H02,GEN,2,19
H02,GEN,3,20
H02,IMI,1,30
H02,IMI,2,30
H02,IMI,3,31
H02,MER,1,41
H02,MER,2,34
H02,MER,3,36
H02,PIT,1,24
H02,PIT,2,25
H02,PIT,3,23
H02,TOB,1,21
H02,TOB,2,24
H02,TOB,3,22
H03,AMI,1,17
H03,AMI,2,17
H03,AMI,3,17
H03,CID,1,33
H03,CID,2,32
H03,CID,3,31
H03,CTZ,1,24
H03,CTZ,2,23
H03,CTZ,3,23
H03,CTV,1,19
H03,CTV,2,20
H03,CTV,3,19
H03,CTT,1,29
H03,CTT,2,31
H03,CTT,3,30
H03,CIP,1,6
H03,CIP,2,6
H03,CIP,3,6
H03,COL,1,16
H03,COL,2,16
H03,COL,3,16
H03,GEN,1,6
H03,GEN,2,7
H03,GEN,3,6
H03,IMI,1,33
H03,IMI,2,33
H03,IMI,3,34
H03,MER,1,36
H03,MER,2,36
H03,MER,3,36
H03,PIT,1,21
H03,PIT,2,22
H03,PIT,3,20
H03,TOB,1,6
H03,TOB,2,6
H03,TOB,3,6
H04,AMI,1,22
H04,AMI,2,21
H04,AMI,3,22
H04,CID,1,27
H04,CID,2,28
H04,CID,3,27
H04,CTZ,1,27
H04,CTZ,2,26
H04,CTZ,3,27
H04,CTV,1,25
H04,CTV,2,24
H04,CTV,3,24
H04,CTT,1,27
H04,CTT,2,27
H04,CTT,3,27
H04,CIP,1,30
H04,CIP,2,31
H04,CIP,3,30
H04,COL,1,14
H04,COL,2,14
H04,COL,3,15
H04,GEN,1,21
H04,GEN,2,21
H04,GEN,3,20
H04,IMI,1,30
H04,IMI,2,29
H04,IMI,3,29
H04,MER,1,36
H04,MER,2,37
H04,MER,3,35
H04,PIT,1,28
H04,PIT,2,28
H04,PIT,3,28
H04,TOB,1,21
H04,TOB,2,23
H04,TOB,3,21
H05,AMI,1,22
H05,AMI,2,22
H05,AMI,3,22
H05,CID,1,30
H05,CID,2,31
H05,CID,3,31
H05,CTZ,1,25
H05,CTZ,2,27
H05,CTZ,3,26
H05,CTV,1,23
H05,CTV,2,24
H05,CTV,3,24
H05,CTT,1,31
H05,CTT,2,32
H05,CTT,3,31
H05,CIP,1,31
H05,CIP,2,32
H05,CIP,3,31
H05,COL,1,15
H05,COL,2,14
H05,COL,3,14
H05,GEN,1,19
H05,GEN,2,20
H05,GEN,3,19
H05,IMI,1,31
H05,IMI,2,30
H05,IMI,3,31
H05,MER,1,37
H05,MER,2,39
H05,MER,3,38
H05,PIT,1,26
H05,PIT,2,25
H05,PIT,3,23
H05,TOB,1,22
H05,TOB,2,23
H05,TOB,3,22
H06,AMI,1,18
H06,AMI,2,18
H06,AMI,3,18
H06,CID,1,32
H06,CID,2,32
H06,CID,3,34
H06,CTZ,1,21
H06,CTZ,2,22
H06,CTZ,3,22
H06,CTV,1,22
H06,CTV,2,23
H06,CTV,3,23
H06,CTT,1,32
H06,CTT,2,34
H06,CTT,3,33
H06,CIP,1,6
H06,CIP,2,6
H06,CIP,3,6
H06,COL,1,15
H06,COL,2,14
H06,COL,3,15
H06,GEN,1,19
H06,GEN,2,20
H06,GEN,3,20
H06,IMI,1,32
H06,IMI,2,31
H06,IMI,3,32
H06,MER,1,37
H06,MER,2,36
H06,MER,3,37
H06,PIT,1,20
H06,PIT,2,19
H06,PIT,3,18
H06,TOB,1,21
H06,TOB,2,22
H06,TOB,3,23
H07,AMI,1,19
H07,AMI,2,19
H07,AMI,3,19
H07,CID,1,29
H07,CID,2,29
H07,CID,3,28
H07,CTZ,1,26
H07,CTZ,2,26
H07,CTZ,3,26
H07,CTV,1,25
H07,CTV,2,25
H07,CTV,3,25
H07,CTT,1,29
H07,CTT,2,30
H07,CTT,3,30
H07,CIP,1,28
H07,CIP,2,29
H07,CIP,3,29
H07,COL,1,15
H07,COL,2,15
H07,COL,3,15
H07,GEN,1,20
H07,GEN,2,20
H07,GEN,3,19
H07,IMI,1,31
H07,IMI,2,31
H07,IMI,3,31
H07,MER,1,37
H07,MER,2,39
H07,MER,3,38
H07,PIT,1,29
H07,PIT,2,28
H07,PIT,3,29
H07,TOB,1,21
H07,TOB,2,22
H07,TOB,3,19
H08,AMI,1,20
H08,AMI,2,19
H08,AMI,3,19
H08,CID,1,30
H08,CID,2,29
H08,CID,3,30
H08,CTZ,1,27
H08,CTZ,2,23
H08,CTZ,3,27
H08,CTV,1,23
H08,CTV,2,23
H08,CTV,3,22
H08,CTV,1,29
H08,CTT,2,29
H08,CTT,3,29
H08,CIP,1,15
H08,CIP,2,16
H08,CIP,3,15
H08,COL,1,15
H08,COL,2,15
H08,COL,3,15
H08,GEN,1,19
H08,GEN,2,18
H08,GEN,3,19
H08,IMI,1,31
H08,IMI,2,30
H08,IMI,3,30
H08,MER,1,37
H08,MER,2,35
H08,MER,3,34
H08,PIT,1,28
H08,PIT,2,27
H08,PIT,3,27
H08,TOB,1,21
H08,TOB,2,20
H08,TOB,3,22
H09,AMI,1,18
H09,AMI,2,18
H09,AMI,3,19
H09,CID,1,34
H09,CID,2,29
H09,CID,3,29
H09,CTZ,1,26
H09,CTZ,2,27
H09,CTZ,3,27
H09,CTV,1,24
H09,CTV,2,25
H09,CTV,3,25
H09,CTT,1,29
H09,CTT,2,29
H09,CTT,3,29
H09,CIP,1,30
H09,CIP,2,31
H09,CIP,3,27
H09,COL,1,14
H09,COL,2,14
H09,COL,3,14
H09,GEN,1,18
H09,GEN,2,19
H09,GEN,3,18
H09,IMI,1,28
H09,IMI,2,32
H09,IMI,3,29
H09,MER,1,38
H09,MER,2,38
H09,MER,3,38
H09,PIT,1,28
H09,PIT,2,30
H09,PIT,3,27
H09,TOB,1,6
H09,TOB,2,23
H09,TOB,3,21
H10,AMI,1,21
H10,AMI,2,21
H10,AMI,3,22
H10,CID,1,29
H10,CID,2,28
H10,CID,3,27
H10,CTZ,1,26
H10,CTZ,2,28
H10,CTZ,3,26
H10,CTV,1,23
H10,CTV,2,23
H10,CTV,3,24
H10,CTT,1,29
H10,CTT,2,28
H10,CTT,3,27
H10,CIP,1,33
H10,CIP,2,35
H10,CIP,3,34
H10,COL,1,14
H10,COL,2,14
H10,COL,3,14
H10,GEN,1,20
H10,GEN,2,20
H10,GEN,3,20
H10,IMI,1,28
