strain,replicate,time,od
H04,1,15,0.009
H04,1,30,0.008
H04,1,45,0.012
H04,1,60,0.018
H04,1,75,0.026
H04,1,90,0.029
H04,1,105,0.031
H04,1,120,0.036
H04,1,135,0.039
H04,1,150,0.042
H04,1,165,0.046
H04,1,180,0.061
H04,1,195,0.069
H04,1,210,0.089
H04,1,225,0.116
H04,1,240,0.133
H04,1,255,0.148
H04,1,270,0.178
H04,1,285,0.192
H04,1,300,0.202
H04,1,315,0.212
H04,1,330,0.223
H04,1,345,0.232
H04,1,360,0.238
H04,1,375,0.241
H04,1,390,0.245
H04,1,405,0.248
H04,1,420,0.25
H04,1,435,0.252
H04,1,450,0.253
H04,1,465,0.255
H04,1,480,0.254
H04,1,495,0.254
H04,1,510,0.256
H04,1,525,0.254
H04,1,540,0.253
H04,1,555,0.253
H04,1,570,0.253
H04,1,585,0.253
H04,1,600,0.252
H04,1,615,0.25
H04,1,630,0.251
H04,1,645,0.249
H04,1,660,0.246
H04,1,675,0.244
H04,1,690,0.244
H04,1,705,0.242
H04,1,720,0.241
H04,1,735,0.241
H04,1,750,0.24
H04,1,765,0.239
H04,1,780,0.239
H04,1,795,0.238
H04,1,810,0.237
H04,1,825,0.234
H04,1,840,0.233
H04,1,855,0.24
H04,1,870,0.233
H04,1,885,0.236
H04,1,900,0.234
H04,1,915,0.236
H04,1,930,0.235
H04,1,945,0.235
H04,1,960,0.234
H04,1,975,0.234
H04,1,990,0.235
H04,1,1005,0.234
H04,1,1020,0.235
H04,1,1035,0.235
H04,1,1050,0.236
H04,1,1065,0.235
H04,1,1080,0.235
H04,1,1095,0.235
H04,1,1110,0.234
H04,1,1125,0.233
H04,1,1140,0.234
H04,1,1155,0.234
H05,1,15,0.003
H05,1,30,0.002
H05,1,45,0.003
H05,1,60,0.005
H05,1,75,0.006
H05,1,90,0.008
H05,1,105,0.01
H05,1,120,0.014
H05,1,135,0.019
H05,1,150,0.027
H05,1,165,0.035
H05,1,180,0.048
H05,1,195,0.061
H05,1,210,0.074
H05,1,225,0.093
H05,1,240,0.111
H05,1,255,0.135
H05,1,270,0.172
H05,1,285,0.189
H05,1,300,0.198
H05,1,315,0.209
H05,1,330,0.222
H05,1,345,0.236
H05,1,360,0.249
H05,1,375,0.267
H05,1,390,0.291
H05,1,405,0.299
H05,1,420,0.308
H05,1,435,0.312
H05,1,450,0.32
H05,1,465,0.331
H05,1,480,0.334
H05,1,495,0.337
H05,1,510,0.344
H05,1,525,0.342
H05,1,540,0.333
H05,1,555,0.332
H05,1,570,0.328
H05,1,585,0.323
H05,1,600,0.319
H05,1,615,0.316
H05,1,630,0.312
H05,1,645,0.31
H05,1,660,0.307
H05,1,675,0.305
H05,1,690,0.302
H05,1,705,0.301
H05,1,720,0.299
H05,1,735,0.297
H05,1,750,0.295
H05,1,765,0.294
H05,1,780,0.293
H05,1,795,0.291
H05,1,810,0.29
H05,1,825,0.29
H05,1,840,0.288
H05,1,855,0.286
H05,1,870,0.285
H05,1,885,0.284
H05,1,900,0.283
H05,1,915,0.281
H05,1,930,0.28
H05,1,945,0.279
H05,1,960,0.278
H05,1,975,0.277
H05,1,990,0.277
H05,1,1005,0.28
H05,1,1020,0.274
H05,1,1035,0.273
H05,1,1050,0.272
H05,1,1065,0.272
H05,1,1080,0.271
H05,1,1095,0.27
H05,1,1110,0.269
H05,1,1125,0.269
H05,1,1140,0.268
H05,1,1155,0.267
H04,2,15,0.001
H04,2,30,0.001
H04,2,45,0.001
H04,2,60,0.001
H04,2,75,0.001
H04,2,90,0.001
H04,2,105,0.003
H04,2,120,0.006
H04,2,135,0.011
H04,2,150,0.018
H04,2,165,0.027
H04,2,180,0.041
H04,2,195,0.054
H04,2,210,0.07
H04,2,225,0.092
H04,2,240,0.114
H04,2,255,0.143
H04,2,270,0.176
H04,2,285,0.187
H04,2,300,0.203
H04,2,315,0.215
H04,2,330,0.224
H04,2,345,0.238
H04,2,360,0.245
H04,2,375,0.252
H04,2,390,0.261
H04,2,405,0.269
H04,2,420,0.276
H04,2,435,0.281
H04,2,450,0.287
H04,2,465,0.292
H04,2,480,0.292
H04,2,495,0.3
H04,2,510,0.294
H04,2,525,0.294
H04,2,540,0.285
H04,2,555,0.289
H04,2,570,0.287
H04,2,585,0.284
H04,2,600,0.283
H04,2,615,0.284
H04,2,630,0.281
H04,2,645,0.282
H04,2,660,0.281
H04,2,675,0.278
H04,2,690,0.28
H04,2,705,0.278
H04,2,720,0.276
H04,2,735,0.277
H04,2,750,0.276
H04,2,765,0.275
H04,2,780,0.275
H04,2,795,0.273
H04,2,810,0.272
H04,2,825,0.271
H04,2,840,0.271
H04,2,855,0.274
H04,2,870,0.27
H04,2,885,0.27
H04,2,900,0.268
H04,2,915,0.267
H04,2,930,0.266
H04,2,945,0.269
H04,2,960,0.265
H04,2,975,0.265
H04,2,990,0.264
H04,2,1005,0.264
H04,2,1020,0.264
H04,2,1035,0.264
H04,2,1050,0.264
H04,2,1065,0.265
H04,2,1080,0.269
H04,2,1095,0.269
H04,2,1110,0.267
H04,2,1125,0.266
H04,2,1140,0.265
H04,2,1155,0.266
H10,1,15,0.004
H10,1,30,0.004
H10,1,45,0.006
H10,1,60,0.006
H10,1,75,0.008
H10,1,90,0.01
H10,1,105,0.014
H10,1,120,0.021
H10,1,135,0.03
H10,1,150,0.039
H10,1,165,0.052
H10,1,180,0.071
H10,1,195,0.093
H10,1,210,0.11
H10,1,225,0.121
H10,1,240,0.132
H10,1,255,0.139
H10,1,270,0.157
H10,1,285,0.162
H10,1,300,0.165
H10,1,315,0.152
H10,1,330,0.159
H10,1,345,0.288
H10,1,360,0.288
H10,1,375,0.354
H10,1,390,0.335
H10,1,405,0.252
H10,1,420,0.356
H10,1,435,0.354
H10,1,450,0.469
H10,1,465,0.377
H10,1,480,0.384
H10,1,495,0.383
H10,1,510,0.376
H10,1,525,0.43
H10,1,540,0.37
H10,1,555,0.366
H10,1,570,0.366
H10,1,585,0.397
H10,1,600,0.454
H10,1,615,0.352
H10,1,630,0.352
H10,1,645,0.347
H10,1,660,0.349
H10,1,675,0.341
H10,1,690,0.45
H10,1,705,0.346
H10,1,720,0.434
H10,1,735,0.333
H10,1,750,0.331
H10,1,765,0.328
H10,1,780,0.326
H10,1,795,0.327
H10,1,810,0.323
H10,1,825,0.321
H10,1,840,0.319
H10,1,855,0.331
H10,1,870,0.317
H10,1,885,0.321
H10,1,900,0.314
H10,1,915,0.314
H10,1,930,0.311
H10,1,945,0.314
