strain,replicate,drug,time,microcol,mic
PAO1,1,CIP,24h,n,0.094
PAO1,1,CIP,24h,y,0.094
PAO1,2,CIP,24h,n,0.125
PAO1,2,CIP,24h,y,0.125
PAO1,3,CIP,24h,n,0.047
PAO1,3,CIP,24h,y,0.047
PAO1,1,GEN,24h,n,1.5
PAO1,1,GEN,24h,y,1.5
PAO1,2,GEN,24h,n,0.75
PAO1,2,GEN,24h,y,1
PAO1,3,GEN,24h,n,1.5
PAO1,3,GEN,24h,y,1.5
PAO1,1,TOB,24h,n,1.5
PAO1,1,TOB,24h,y,1.5
PAO1,2,TOB,24h,n,2
PAO1,2,TOB,24h,y,2
PAO1,3,TOB,24h,n,1.5
PAO1,3,TOB,24h,y,1.5
PAO1,1,MER,24h,n,0.032
PAO1,1,MER,24h,y,0.047
PAO1,2,MER,24h,n,0.023
PAO1,2,MER,24h,y,0.023
PAO1,3,MER,24h,n,0.047
PAO1,3,MER,24h,y,0.094
PAO1,1,PIT,24h,n,3
PAO1,1,PIT,24h,y,3
PAO1,2,PIT,24h,n,2
PAO1,2,PIT,24h,y,2
PAO1,3,PIT,24h,n,2
PAO1,3,PIT,24h,y,2
PAO1,1,COL,24h,n,3
PAO1,1,COL,24h,y,3
PAO1,2,COL,24h,n,3
PAO1,2,COL,24h,y,3
PAO1,3,COL,24h,n,3
PAO1,3,COL,24h,y,3
PAO1,4,COL,24h,n,3
PAO1,4,COL,24h,y,3
PAO1,5,COL,24h,n,4
PAO1,5,COL,24h,y,4
PAO1,6,COL,24h,n,3
PAO1,6,COL,24h,y,3
PAO1,1,CTT,24h,n,0.38
PAO1,1,CTT,24h,y,0.38
PAO1,2,CTT,24h,n,0.25
PAO1,2,CTT,24h,y,0.25
PAO1,3,CTT,24h,n,0.38
PAO1,3,CTT,24h,y,0.38
PAO1,4,CTT,24h,n,0.38
PAO1,4,CTT,24h,y,0.38
PAO1,5,CTT,24h,n,0.25
PAO1,5,CTT,24h,y,0.25
PAO1,6,CTT,24h,n,0.25
PAO1,6,CTT,24h,y,0.25
PAO1,1,AMI,24h,n,4
PAO1,1,AMI,24h,y,12
PAO1,2,AMI,24h,n,3
PAO1,2,AMI,24h,y,3
PAO1,3,AMI,24h,n,4
PAO1,3,AMI,24h,y,4
PAO1,4,AMI,24h,n,4
PAO1,4,AMI,24h,y,4
PAO1,5,AMI,24h,n,4
PAO1,5,AMI,24h,y,6
PAO1,6,AMI,24h,n,3
PAO1,6,AMI,24h,y,3
PAO1,1,CTZ,24h,n,0.75
PAO1,1,CTZ,24h,y,0.75
PAO1,2,CTZ,24h,n,0.5
PAO1,2,CTZ,24h,y,0.75
PAO1,3,CTZ,24h,n,0.5
PAO1,3,CTZ,24h,y,0.5
PAO1,1,CIP,48h,n,0.125
PAO1,1,CIP,48h,y,0.125
PAO1,2,CIP,48h,n,0.125
PAO1,2,CIP,48h,y,0.125
PAO1,3,CIP,48h,n,0.047
