strain,drug,mic
H01,PIP,32
H01,PIT,16
H01,CTZ,4
H01,CEP,16
H01,AZT,64
H01,IMI,2
H01,MER,1
H01,AMI,16
H01,GEN,16
H01,TOB,16
H01,CIP,1
H01,COL,0.5
H02,PIP,32
H02,PIT,16
H02,CTZ,4
H02,CEP,4
H02,AZT,16
H02,IMI,0.25
H02,MER,1
H02,AMI,2
H02,GEN,1
H02,TOB,1
H02,CIP,0.25
H02,COL,0.5
H03,PIP,128
H03,PIT,128
H03,CTZ,16
H03,CEP,16
H03,AZT,32
H03,IMI,1
H03,MER,4
H03,AMI,16
H03,GEN,16
H03,TOB,16
H03,CIP,4
H03,COL,0.5
H04,PIP,8
H04,PIT,8
H04,CTZ,4
H04,CEP,2
H04,AZT,4
H04,IMI,1
H04,MER,0.25
H04,AMI,2
H04,GEN,1
H04,TOB,1
H04,CIP,0.25
H04,COL,0.5
H05,PIP,16
H05,PIT,16
H05,CTZ,4
H05,CEP,4
H05,AZT,16
H05,IMI,1
H05,MER,1
H05,AMI,2
H05,GEN,1
H05,TOB,1
H05,CIP,0.25
H05,COL,0.5
H06,PIP,128
H06,PIT,128
H06,CTZ,16
H06,CEP,8
H06,AZT,4
H06,IMI,2
H06,MER,1
H06,AMI,4
H06,GEN,4
H06,TOB,1
H06,CIP,4
H06,COL,0.5
H07,PIP,16
H07,PIT,8
H07,CTZ,4
H07,CEP,2
H07,AZT,4
H07,IMI,2
H07,MER,0.25
H07,AMI,2
H07,GEN,1
H07,TOB,1
H07,CIP,0.25
H07,COL,0.5
H08,PIP,8
H08,PIT,8
H08,CTZ,4
H08,CEP,2
H08,AZT,16
H08,IMI,2
H08,MER,1
H08,AMI,2
H08,GEN,1
H08,TOB,1
H08,CIP,2
H08,COL,0.5
H09,PIP,8
H09,PIT,8
H09,CTZ,4
H09,CEP,2
H09,AZT,8
H09,IMI,2
H09,MER,0.25
H09,AMI,2
H09,GEN,1
H09,TOB,1
H09,CIP,0.25
H09,COL,0.5
H10,PIP,4
H10,PIT,4
H10,CTZ,2
H10,CEP,1
H10,AZT,2
H10,IMI,1
H10,MER,0.25
H10,AMI,2
H10,GEN,1
H10,TOB,1
H10,CIP,0.25
H10,COL,0.5
H11,PIP,16
H11,PIT,16
H11,CTZ,4
H11,CEP,4
H11,AZT,16
H11,IMI,2
H11,MER,2
H11,AMI,2
H11,GEN,1
H11,TOB,1
H11,CIP,4
H11,COL,0.5
H12,PIP,16
H12,PIT,16
H12,CTZ,4
H12,CEP,4
H12,AZT,16
H12,IMI,16
H12,MER,8
H12,AMI,2
H12,GEN,1
H12,TOB,1
H12,CIP,4
H12,COL,0.5
H13,PIP,4
H13,PIT,8
H13,CTZ,2
H13,CEP,1
H13,AZT,4
H13,IMI,1
H13,MER,0.25
H13,AMI,2
H13,GEN,1
H13,TOB,1
H13,CIP,0.25
H13,COL,0.5
H14,PIP,4
H14,PIT,4
H14,CTZ,1
H14,CEP,1
H14,AZT,4
H14,IMI,0.25
H14,MER,0.25
H14,AMI,2
H14,GEN,1
H14,TOB,1
H14,CIP,0.25
H14,COL,0.5
H15,PIP,4
H15,PIT,4
H15,CTZ,1
H15,CEP,1
H15,AZT,1
H15,IMI,1
H15,MER,0.25
H15,AMI,2
H15,GEN,1
H15,TOB,1
H15,CIP,0.25
H15,COL,0.5
H16,PIP,4
H16,PIT,8
H16,CTZ,1
H16,CEP,1
H16,AZT,2
H16,IMI,2
H16,MER,0.25
H16,AMI,2
H16,GEN,1
H16,TOB,1
H16,CIP,0.25
H16,COL,0.5
H17,PIP,4
H17,PIT,4
H17,CTZ,4
H17,CEP,2
H17,AZT,4
H17,IMI,0.25
H17,MER,0.25
H17,AMI,2
H17,GEN,1
H17,TOB,1
H17,CIP,0.25
H17,COL,0.5
H18,PIP,4
H18,PIT,4
H18,CTZ,1
H18,CEP,1
H18,AZT,2
H18,IMI,1
H18,MER,0.25
H18,AMI,2
H18,GEN,1
H18,TOB,1
H18,CIP,0.25
H18,COL,0.5
H19,PIP,8
H19,PIT,8
H19,CTZ,4
H19,CEP,2
H19,AZT,4
H19,IMI,1
H19,MER,0.25
H19,AMI,2
H19,GEN,1
H19,TOB,1
H19,CIP,0.25
H19,COL,0.5
H20,PIP,4
H20,PIT,8
H20,CTZ,4
H20,CEP,2
H20,AZT,4
H20,IMI,1
H20,MER,0.25
H20,AMI,2
H20,GEN,1
H20,TOB,1
H20,CIP,0.25
H20,COL,0.5
PA14,PIP,8
PA14,PIT,8
PA14,CTZ,2
PA14,CEP,1
PA14,AZT,4
PA14,IMI,1
PA14,MER,0.25
PA14,AMI,2
PA14,GEN,1
PA14,TOB,1
PA14,CIP,0.25
PA14,COL,0.5
PAO1,PIP,4
PAO1,PIT,16
PAO1,CTZ,2
PAO1,CEP,1
PAO1,AZT,4
PAO1,IMI,2
PAO1,MER,1
PAO1,AMI,2
PAO1,GEN,1
PAO1,TOB,2
PAO1,CIP,0.25
PAO1,COL,0.5
